RTlexdec,WrittenFrequency,LengthInLetters,AgeSubject
6.54375355965694,3.91202300542815,3,young
6.3975960997593,4.52178857704904,5,young
6.30494228210337,6.50578406012823,6,young
6.42422051545205,5.01727983681492,4,young
6.45059679646508,4.89034912822175,4,young
6.53197032497538,4.77068462446567,4,young
6.37058567987654,6.383506634884,4,young
6.2668589342206,7.15929190479756,3,young
6.60864818886089,4.89034912822175,3,young
6.28484286510464,5.92958914338989,5,young
6.60716356790878,3.40119738166216,5,young
6.41439294709245,11.2796936982972,3,young
6.63358155655515,3.52636052461616,5,young
6.33315528648419,5.99893656194668,4,young
6.47212988777908,1.94591014905531,5,young
6.32597056627565,6.59441345974978,5,young
6.47245448030239,4.07753744390572,4,young
6.44974345970876,5.80211837537706,5,young
6.38820840207076,6.16120732169508,4,young
6.37587624601831,5.03043792139244,5,young
6.42433403479506,3.97029191355212,4,young
6.54514849067587,2.484906649788,4,young
6.65544035036765,0.693147180559945,5,young
6.39359075395063,6.08449941307517,4,young
6.29882056210583,5.40717177146012,3,young
6.50964803527717,4.18965474202643,5,young
6.32491436367301,5.12396397940326,4,young
6.56629261084571,2.99573227355399,4,young
6.52702180709316,6.08449941307517,4,young
6.3812405557515,6.96696713861398,5,young
6.36837584779809,9.3061958576197,5,young
6.29236511897893,5.40717177146012,3,young
6.27703814829566,7.54802896993501,3,young
6.45535578368476,7.46278915741245,4,young
6.34968080261554,5.4553211153577,4,young
6.47256265440098,3.85014760171006,4,young
6.53373069670829,1.38629436111989,6,young
6.54276010342769,4.56434819146784,5,young
6.37660789319285,6.48768401848461,5,young
6.42363649804471,8.48755838628655,4,young
6.3554477207612,5.32300997913841,5,young
6.33327962813969,4.4188406077966,5,young
6.36394147938917,5.70044357339069,5,young
6.32312163807142,7.9973268229981,3,young
6.7751377543673,1.6094379124341,5,young
6.48220480361062,4.24849524204936,3,young
6.44088274274461,4.14313472639153,5,young
6.46533568788021,6.36302810354046,4,young
6.61097864273742,1.79175946922805,4,young
6.53580714861058,4.49980967033027,5,young
6.51383823457297,5.22035582507832,5,young
6.364234272378,4.68213122712422,5,young
6.5170506963472,3.13549421592915,5,young
6.38968682244656,6.69826805411541,5,young
6.38617199856319,6.70073110954781,5,young
6.65654655939958,3.68887945411394,5,young
6.71544399055881,3.04452243772342,4,young
6.62882149508806,1.09861228866811,5,young
6.50721800911027,6.64898455002478,4,young
6.4405477370384,5.57972982598622,5,young
6.39942653541473,2.70805020110221,5,young
6.5617941650217,2.83321334405622,6,young
6.30539899070383,5.23644196282995,5,young
6.45029663137203,4.74493212836325,5,young
6.446973002078,7.08002649992259,4,young
6.37903720237456,5.31320597904179,4,young
6.25862498383897,8.98732181285012,4,young
6.38901508413054,4.88280192258637,4,young
6.4003072779542,5.04342511691925,6,young
6.41037223091264,3.89182029811063,3,young
6.31385596987825,8.54752839121231,5,young
6.50151487040622,3.36729582998647,4,young
6.53198488620901,4.06044301054642,4,young
6.51897028112517,5.18738580584075,6,young
6.43752762464465,4.30406509320417,4,young
6.32834741369488,10.0020651158971,4,young
6.61992652910708,2.77258872223978,4,young
6.47191343421526,9.21423278669153,4,young
6.41450758749022,4.27666611901606,5,young
6.44506881387667,5.60947179518496,5,young
6.34189251928624,9.11943049661634,4,young
6.43380788330258,5.99146454710798,5,young
6.36818718635049,6.01126717440416,6,young
6.5186604437873,4.71849887129509,6,young
6.58336772752194,1.94591014905531,6,young
6.49323933535355,4.47733681447821,4,young
6.45356200478262,5.18178355029209,4,young
6.5372132006632,4.97673374242057,5,young
6.33917694717132,3.61091791264422,3,young
6.40123703180245,8.2817239904114,4,young
6.4902985580216,6.8373328146856,4,young
6.5649409738923,3.49650756146648,5,young
6.5287762961098,3.73766961828337,4,young
6.49648837294614,4.86753445045558,5,young
6.25099788520506,6.49828214947643,5,young
6.37917293362689,5.59471137960184,5,young
6.344425101234,4.89783979995091,4,young
6.51840955275386,3.63758615972639,6,young
6.37043166390992,5.48893772615669,4,young
6.4343057193321,4.39444915467244,6,young
6.31674943808862,10.5543533408395,2,young
6.7189527660885,2.77258872223978,5,young
6.37087653422045,6.86901445066571,6,young
6.30340621158099,9.462421173185,7,young
6.35410913719975,6.20859002609663,5,young
6.41673228251233,4.38202663467388,5,young
6.39764606519989,6.11809719804135,4,young
6.53550248508007,4.38202663467388,3,young
